setting,year,subgroup,estimate,se,ci_lb,ci_ub,population,setting_average,subgroup_order
Indonesia,1997,Quintile 1 (poorest),21.88554764,1.425478339,19.21584702,24.81223297,2198,50.99967194,1
Indonesia,1997,Quintile 2,36.70444489,2.016342163,32.84274673,40.74472427,2015,50.99967194,2
Indonesia,1997,Quintile 3,50.75548935,2.363968372,46.12130737,55.37672806,1953,50.99967194,3
Indonesia,1997,Quintile 4,66.60211182,2.395619392,61.74661636,71.12945557,1966,50.99967194,4
Indonesia,1997,Quintile 5 (richest),89.31525421,1.564914942,85.83215332,92.02163696,1634,50.99967194,5
Indonesia,2002,Quintile 1 (poorest),42.03519058,2.201300144,37.78445435,46.40743256,2059,68.67483521,1
Indonesia,2002,Quintile 2,58.52720642,2.511071682,53.52766418,63.35707855,1732,68.67483521,2
Indonesia,2002,Quintile 3,68.2322998,2.401208401,63.3432579,72.74977875,1816,68.67483521,3
Indonesia,2002,Quintile 4,84.4118042,1.974784255,80.13152313,87.90911865,1801,68.67483521,4
Indonesia,2002,Quintile 5 (richest),94.94664001,0.96027869,92.69200897,96.53171539,1708,68.67483521,5
Indonesia,2007,Quintile 1 (poorest),46.51158524,1.700059533,43.19568253,49.85861206,2252,74.8722229,1
Indonesia,2007,Quintile 2,68.5840683,2.137892246,64.24511719,72.62086487,1919,74.8722229,2
Indonesia,2007,Quintile 3,80.06047821,1.627487898,76.6741333,83.063797,2032,74.8722229,3
Indonesia,2007,Quintile 4,88.49567413,1.37454617,85.51113129,90.93064117,1860,74.8722229,4
Indonesia,2007,Quintile 5 (richest),96.02818298,0.920353472,93.77224731,97.48881531,1894,74.8722229,5
Indonesia,2012,Quintile 1 (poorest),60.43196487,1.631438017,57.19178772,63.5830574,2227,85.06478882,1
Indonesia,2012,Quintile 2,84.01262665,1.30877912,81.27613068,86.41603088,2050,85.06478882,2
Indonesia,2012,Quintile 3,90.87911224,1.010921717,88.69300842,92.67744446,2042,85.06478882,3
Indonesia,2012,Quintile 4,95.29376984,0.977179706,92.9610672,96.87936401,2130,85.06478882,4
Indonesia,2012,Quintile 5 (richest),97.42613983,0.668992698,95.7321167,98.45859528,1890,85.06478882,5